Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	mu_bar	sigma2_1	sigma2_2	sigma2_3	sigma2_bar	lnL
1298	0.1370393	0.1252118	0.0836951	0.0632019	0.0244833	0.0446495	0.4519223	0.1823102	1.9231353	0.4499820	0.0148564	0.0104808	0.0097169	0.0274250	-35005.586
1300	0.1370393	0.1252118	0.0823650	0.0613606	0.0244833	0.0446495	0.4519223	0.1823102	1.9231353	0.4499820	0.0092183	0.0104808	0.0173844	0.0077023	-34995.247
1302	0.1414789	0.1292682	0.0850333	0.0584049	0.0252764	0.0460961	0.4432322	0.1765892	1.8627867	0.2541988	0.0059036	0.0079406	0.0173844	0.0071408	-34992.169
1304	0.1634080	0.1493047	0.0982134	0.0674576	0.0265192	0.0532409	0.3837512	0.1528913	1.6128040	0.2541988	0.0059036	0.0079406	0.0173844	0.0346653	-35003.083
1306	0.1521761	0.1437137	0.0878824	0.0628209	0.0258369	0.0495814	0.4120755	0.1742226	1.7318431	0.2541988	0.0059036	0.0079406	0.0170443	0.0346653	-34997.577
1308	0.1651690	0.1559842	0.1003865	0.0681846	0.0280429	0.0538147	0.3796596	0.1541015	1.5956080	0.2270067	0.0025333	0.0167667	0.0274328	0.0281451	-34996.576
1310	0.1480116	0.1397808	0.0899585	0.0611017	0.0251299	0.0501210	0.4236697	0.1820528	1.7805707	0.2270067	0.0092969	0.0167667	0.0274328	0.0107895	-34998.917
1312	0.1808849	0.1708260	0.1045732	0.0746724	0.0307112	0.0612529	0.3466736	0.1489672	1.3030964	0.2270067	0.0068871	0.0167667	0.0233458	0.0417654	-34998.243
1314	0.1940460	0.1832553	0.1161632	0.0801055	0.0329458	0.0703392	0.3231606	0.1257669	1.2147141	0.2270067	0.0050691	0.0397991	0.0412195	0.0128152	-34997.124
1316	0.1522810	0.1480123	0.0879898	0.0628642	0.0292885	0.0551999	0.4117915	0.1814681	1.7501360	0.5927293	0.0050691	0.0397991	0.0234255	0.0217246	-34996.895
1318	0.1609939	0.1519714	0.0879898	0.0676101	0.0249420	0.0551999	0.4007342	0.1691303	1.7501360	0.1703823	0.0028759	0.0397991	0.0224426	0.0464247	-34995.943
1320	0.1543869	0.1454401	0.0896466	0.0676101	0.0295478	0.0551999	0.4007342	0.1632996	1.7501360	0.1703823	0.0049403	0.0175818	0.0268310	0.0118335	-34999.661
1322	0.1719145	0.1619519	0.0998241	0.0778369	0.0292182	0.0558986	0.3804433	0.1466939	1.5717010	0.1703823	0.0117455	0.0175818	0.0259966	0.0301883	-34999.711
1324	0.1719145	0.1619519	0.0998241	0.0751338	0.0292182	0.0558986	0.3804433	0.1581586	1.5717010	0.1703823	0.0102315	0.0329945	0.0259966	0.0943998	-35001.656
